,id,Degree,In-degree,Out-degree,Weighted degree,Weighted in-degree,Weighted out-degree,Clustering coefficient,Pagerank,Degree centrality,In-degree centrality,Out-degree centrality,Betweenness centrality,Clossness centrality,Eigenvector centrality,Katz centrality,Harmonic centrality,Load centrality,Mean shortest path length,Max shortest path length
63,203; Fira de Reus 1,2,1,1,2.0,1.0,1.0,0.0,0.00464625178440151,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08493878944544701,0.03490971625107481,0.00031523405928887905,0.06805968838496476,9.887195703167729,0.08493878944544701,21.5,43
64,204; Fira de Reus 2,2,1,1,2.0,1.0,1.0,0.0,0.003124903383354536,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08493878944544701,0.05377483443708609,0.01888429038443006,0.06806057043853506,14.744214837448652,0.08493878944544701,31.5,55
65,52; Flix 1,2,1,1,4.0,2.0,2.0,0.0,0.004868966573509735,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.057503779934643715,0.046094459582198,0.00574140155851471,0.06805975576405694,12.72099563007383,0.057503779934643715,19.93,40
66,53; Flix 2,2,1,1,4.0,2.0,2.0,0.0,0.004856726718348432,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.057503779934643715,0.050123456790123457,0.011347314289016286,0.06806651204939047,13.972272668186426,0.057503779934643715,21.67,42
67,54; Folch i Torres,3,1,2,16.0,8.0,8.0,0.0,0.009959500721892677,0.014778325123152709,0.0049261083743842365,0.009852216748768473,0.10455786958006145,0.07552083333333333,0.15339996135836317,0.06890002817182617,21.228797352732702,0.10455786958006145,15.71,36
68,55; Font de Rubinat 1,2,1,1,8.0,4.0,4.0,0.0,0.007657920580647915,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.18832609861971422,0.05227916559361319,0.004039746990376068,0.06806044180572272,14.521960729363238,0.1857472077256987,14.09,34
69,56; Font de Rubinat 2,2,1,1,6.0,3.0,3.0,0.0,0.004611652616168702,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.09502267960786227,0.06823529411764706,0.07806473923530667,0.06814280355784852,18.77574142227985,0.09502267960786227,16.98,39
70,237; Fundació Rosa Maria Vivar 1,3,2,1,4.0,2.0,2.0,0.0,0.005694133006092014,0.014778325123152709,0.009852216748768473,0.0049261083743842365,0.08101253475101206,0.05541905541905542,0.008504859018877597,0.07486640390630998,16.85727986223561,0.08101253475101206,21.29,42
71,238; Fundació Rosa Maria Vivar 2,3,1,2,8.0,4.0,4.0,0.0,0.0051449083524784675,0.014778325123152709,0.0049261083743842365,0.009852216748768473,0.14126794452844296,0.05315527625032731,0.011938153483653147,0.0680671735895682,14.861941715402928,0.14109520557967128,16.47,34
72,57; Gironès,2,1,1,4.0,2.0,2.0,0.0,0.0048734177916916815,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.019582500121933376,0.0586366262276141,0.1955923775723099,0.06875572053250356,16.238995600235842,0.019582500121933376,16.85,35
73,58; Greco 1,3,2,1,8.0,4.0,4.0,0.0,0.010183163977977742,0.014778325123152709,0.009852216748768473,0.0049261083743842365,0.18832609861971422,0.06475279106858055,0.01579046407628151,0.07561519388302172,20.41919210131778,0.1857472077256987,17.76,38
74,59; Greco 2,3,1,2,6.0,3.0,3.0,0.0,0.004751482186324239,0.014778325123152709,0.0049261083743842365,0.009852216748768473,0.09502267960786227,0.05458456574347943,0.019990305215717843,0.06805969451033678,14.408635889745147,0.09502267960786227,13.33,35
75,198; Hospital 1,2,1,1,6.0,3.0,3.0,0.0,0.00497923930685991,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08064673462420134,0.047418827376781124,0.008473962294314186,0.06805969451033678,13.057145580984027,0.08064673462420134,21.31,44
76,199; Hospital 2,2,1,1,6.0,3.0,3.0,0.0,0.0050079132908525245,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08064673462420134,0.051719745222929936,0.016748449627481482,0.06806045405646675,14.395779557529563,0.08064673462420134,23.06,46
77,196; Hospital consultas externas 1,2,1,1,6.0,3.0,3.0,0.0,0.004966426603210838,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08064673462420134,0.04552590266875981,0.006026904909679449,0.06805968838496476,12.527459259037455,0.08064673462420134,20.44,43
78,197; Hospital consultas externas 2,2,1,1,6.0,3.0,3.0,0.0,0.005026858476439244,0.009852216748768473,0.0049261083743842365,0.0049261083743842365,0.08064673462420134,0.054176674673071794,0.02354429046815982,0.06806737572684472,15.275125853200066,0.08064673462420134,23.93,47
